	gene	pval	qval	log2fc	mean	zero_mean	zero_variance
236	si:dkey-240n22.3	0.4071335735721767	0.8250972063185716	1.0917911391989812	0.010636652412278826	False	False
237	CT027801.2			0.0	0.0	True	True
238	CT027801.1			0.0	0.0	True	True
239	btg1	0.0031570309990350677	0.2297209487095811	-0.6242993637899705	1.2322682397355758	False	False
240	nrcama	0.06960601927958134	0.7172872295064096	0.867312970405874	0.14749499466602367	False	False
241	gdi2	0.5958838878765278	0.8250972063185716	0.252339922011442	0.3427751805883703	False	False
242	znf1009	0.0010856262402886548	0.12729591829729048	1069.2720253027014	0.005952619317668619	False	False
243	chst11	0.6108133281245317	0.8250972063185716	-0.8345935066358673	0.0321302506510572	False	False
244	asb13a.1	0.060499855897045554	0.6602566568615998	1.4761610782428838	0.03923502582315718	False	False
245	si:dkey-172k15.11	0.1458544717712684	0.8250972063185716	1.4637988516129155	0.03327005806242324	False	False
246	CU467646.5	0.40467561663779716	0.8250972063185716	1.4330312029631018	0.008793066659449142	False	False
247	znf1009-1	0.9398692695261889	0.9754617266751151	-0.23666074319789573	0.17698063371276332	False	False
248	znf1009-2	0.6679128344611995	0.8250972063185716	-1066.0713278185387	0.0034567875601095753	False	False
249	si:dkey-172k15.6	0.1856869672160053	0.8250972063185716	2.3866765052846963	0.005583389346016409	False	False
250	si:dkey-240n22.8	0.1856869672160053	0.8250972063185716	2.2651168330695732	0.006799700079723395	False	False
251	apaf1	0.42992516904988276	0.8250972063185716	-0.8097449830928571	0.07772730829498241	False	False
252	CU467646.7	0.23825696909346195	0.8250972063185716	1.1523772507241852	0.018842597454990707	False	False
253	BX005417.2	0.6679128344611995	0.8250972063185716	-1066.2357594959126	0.003874106519179743	False	False
254	trpm2			0.0	0.0	True	True
255	gsap	0.6679128344611995	0.8250972063185716	-1065.5398426147851	0.0023915513037909616	False	False
256	ccdc146			0.0	0.0	True	True
257	stk38l	0.34962346956325085	0.8250972063185716	-0.8751158245403557	0.07624575527913777	False	False
258	tnni4a	0.5419961310840583	0.8250972063185716	-1067.2817451347257	0.007999164166008167	False	False
259	magi2a	0.7412584578722409	0.8719186588467374	0.11241392287642918	0.22431464066067186	False	False
260	si:dkeyp-53e4.1			0.0	0.0	True	True
